,Name,Data
0,MACK,"         Date        High        Low        Open       Close  Volume  Adj Close
0  2015-10-15   99.599998  91.000000   93.000000   99.500000  149100  67.690155
1  2015-10-16  101.300003  96.400002  100.000000   98.099998  115800  66.737724
2  2015-10-19  103.400002  96.000000   99.199997   99.599998  118600  67.758179
3  2015-10-20  100.000000  95.199997   98.500000   98.099998  137600  66.737724
4  2015-10-21  102.199997  94.699997   98.900002  100.099998  126100  68.098335
5  2015-10-22  108.500000  72.099998  100.500000   87.099998  868100  59.254395
6  2015-10-23   98.699997  89.099998   93.800003   96.699997  299400  65.785301
7  2015-10-26   99.000000  93.400002   96.900002   95.900002  103800  65.241066
8  2015-10-27   98.900002  92.199997   96.900002   96.599998  123400  65.717270
9  2015-10-28  100.400002  94.300003   96.400002  100.199997  146800  68.166359
10 2015-10-29  101.800003  95.000000   99.900002   95.599998  125800  65.036972
11 2015-10-30   98.199997  93.300003   96.300003   93.400002  107300  63.540306"
1,SPPI,"         Date  High   Low  Open  Close   Volume  Adj Close
0  2015-10-16  6.85  6.54  6.65   6.65  1162700       6.65
1  2015-10-19  7.02  6.62  6.62   6.93  1261900       6.93
2  2015-10-20  6.94  6.61  6.93   6.68  1296300       6.68
3  2015-10-21  6.86  6.44  6.76   6.69  1509900       6.69
4  2015-10-22  6.84  6.51  6.72   6.64  1600300       6.64
5  2015-10-23  5.35  4.89  5.00   5.33  4827600       5.33
6  2015-10-26  5.49  5.21  5.33   5.25  1734700       5.25
7  2015-10-27  5.39  5.16  5.25   5.26  1884600       5.26
8  2015-10-28  5.36  5.22  5.24   5.32  3381100       5.32
9  2015-10-29  5.43  5.11  5.32   5.11  1728000       5.11
10 2015-10-30  5.29  5.06  5.15   5.21  1022900       5.21"
3,ENDP,"         Date       High        Low       Open      Close    Volume  Adj Close
0  2015-10-19  69.169998  65.370003  68.089996  66.790001   3895400  66.790001
1  2015-10-20  67.300003  62.169998  66.500000  62.830002   4847100  62.830002
2  2015-10-21  63.910000  49.310001  63.360001  54.459999  23251200  54.459999
3  2015-10-22  54.290001  46.660000  54.290001  51.459999  15672400  51.459999
4  2015-10-23  58.299999  53.000000  53.500000  56.599998   9969200  56.599998
5  2015-10-26  60.189999  55.020000  55.040001  58.970001   6622800  58.970001
6  2015-10-27  60.970001  58.020000  58.700001  58.520000   4425500  58.520000
7  2015-10-28  62.040001  57.520000  59.020000  60.889999   4836700  60.889999
8  2015-10-29  68.839996  60.000000  61.799999  60.380001   6309100  60.380001
9  2015-10-30  62.060001  59.419998  60.020000  59.990002   4879400  59.990002
10 2015-11-02  62.939999  59.830002  60.349998  61.400002   2951500  61.400002
11 2015-11-03  62.840000  60.580002  61.779999  61.259998   2221700  61.259998"
4,EXEL,"         Date  High   Low  Open  Close   Volume  Adj Close
0  2015-11-03  6.29  6.08  6.16   6.19  3283900       6.19
1  2015-11-04  6.29  6.10  6.20   6.21  2288800       6.21
2  2015-11-05  6.25  6.05  6.24   6.14  2444300       6.14
3  2015-11-06  6.24  6.00  6.12   6.23  3300500       6.23
4  2015-11-09  6.25  6.03  6.25   6.10  3504600       6.10
5  2015-11-10  6.42  5.83  6.06   6.33  8464600       6.33
6  2015-11-11  6.10  5.68  6.05   5.74  6884400       5.74
7  2015-11-12  5.76  5.40  5.76   5.42  4574400       5.42
8  2015-11-13  5.55  5.38  5.42   5.40  3106300       5.40
9  2015-11-16  5.51  5.30  5.43   5.48  3546500       5.48
10 2015-11-17  5.71  5.43  5.48   5.64  4191600       5.64
11 2015-11-18  5.81  5.51  5.64   5.80  7347400       5.80"
5,NKTR,"         Date   High    Low   Open  Close   Volume  Adj Close
0  2015-11-09  12.97  12.53  12.63  12.78  1092100      12.78
1  2015-11-10  13.93  12.72  12.74  13.85  2352200      13.85
2  2015-11-11  14.00  12.89  13.84  12.90  1800000      12.90
3  2015-11-12  12.98  12.38  12.79  12.42  1228400      12.42
4  2015-11-13  13.60  12.27  12.34  13.43  1826900      13.43
5  2015-11-16  13.75  13.30  13.50  13.72  1752500      13.72
6  2015-11-17  14.46  13.63  13.69  14.37  1807200      14.37
7  2015-11-18  15.00  14.39  14.41  15.00  1869200      15.00
8  2015-11-19  15.08  14.64  15.00  14.95  1180800      14.95
9  2015-11-20  15.69  14.85  15.00  15.49  1811600      15.49
10 2015-11-23  15.75  14.84  15.41  14.92  1593600      14.92
11 2015-11-24  15.18  14.75  14.79  15.06  1359200      15.06"
6,EBS,"         Date       High        Low       Open      Close  Volume  Adj Close
0  2015-11-17  36.900002  35.700001  36.110001  36.349998  846700  36.349998
1  2015-11-18  37.480000  36.330002  36.439999  37.009998  528200  37.009998
2  2015-11-19  37.500000  36.770000  37.040001  36.919998  450500  36.919998
3  2015-11-20  37.500000  36.910000  37.139999  37.369999  252200  37.369999
4  2015-11-23  38.439999  37.380001  37.500000  37.740002  315400  37.740002
5  2015-11-24  38.980000  37.740002  37.750000  38.619999  273400  38.619999
6  2015-11-25  38.830002  38.090000  38.619999  38.310001  197200  38.310001
7  2015-11-27  38.820000  38.330002  38.330002  38.619999  298800  38.619999
8  2015-11-30  38.790001  37.630001  38.619999  37.669998  329600  37.669998
9  2015-12-01  38.220001  37.369999  37.950001  37.950001  439000  37.950001
10 2015-12-02  38.580002  37.610001  37.919998  37.709999  396900  37.709999"
7,OTIC,"         Date       High        Low       Open      Close   Volume  Adj Close
0  2015-12-04  27.500000  26.059999  26.610001  26.809999   113900  26.809999
1  2015-12-07  26.830000  25.440001  26.620001  25.500000   161800  25.500000
2  2015-12-08  26.490000  25.010000  25.129999  25.709999   174500  25.709999
3  2015-12-09  26.090000  24.820000  25.690001  25.920000   202600  25.920000
4  2015-12-10  26.940001  25.870001  25.870001  26.549999   177300  26.549999
5  2015-12-11  29.379999  25.350000  26.350000  27.320000   647600  27.320000
6  2015-12-14  28.700001  24.500000  27.420000  26.230000   391700  26.230000
7  2015-12-15  27.840000  26.490000  26.490000  27.440001   249700  27.440001
8  2015-12-16  30.530001  27.600000  27.730000  29.620001   391100  29.620001
9  2015-12-17  30.440001  26.320000  29.910000  29.799999   240100  29.799999
10 2015-12-18  30.750000  28.408001  29.750000  29.330000  1898900  29.330000"
8,EGRX,"        Date        High        Low        Open      Close  Volume  Adj Close
0 2015-12-17  102.000000  95.849998  102.000000  96.820000  426900  96.820000
1 2015-12-18   99.750000  95.849998   95.849998  97.169998  837900  97.169998
2 2015-12-21   99.616997  96.610001   98.169998  99.070000  284000  99.070000
3 2015-12-22  101.500000  92.599998   99.610001  93.860001  504800  93.860001
4 2015-12-23   96.290001  91.019997   94.610001  91.320000  308800  91.320000
5 2015-12-24   95.510002  86.430000   93.599998  87.620003  357200  87.620003
6 2015-12-28   88.790001  85.389999   87.400002  87.089996  365300  87.089996
7 2015-12-29   91.796997  87.280998   87.809998  90.959999  322600  90.959999
8 2015-12-30   91.654999  88.519997   90.250000  89.230003  205800  89.230003
9 2015-12-31   90.239998  88.260002   88.699997  88.669998  344700  88.669998"
9,BMRN,"         Date        High        Low       Open      Close   Volume  Adj Close
0  2016-01-07  100.849998  97.089996  99.440002  97.089996  1411100  97.089996
1  2016-01-08   99.339996  94.300003  97.709999  95.750000  1333800  95.750000
2  2016-01-11   95.949997  89.400002  95.870003  93.290001  1823600  93.290001
3  2016-01-12   96.769997  89.349998  93.430000  93.110001  1576800  93.110001
4  2016-01-13   93.839996  83.669998  92.599998  84.120003  1824400  84.120003
5  2016-01-14   86.860001  77.589996  86.269997  84.430000  6306900  84.430000
6  2016-01-15   85.250000  81.010002  81.120003  83.139999  3447700  83.139999
7  2016-01-19   84.040001  77.570000  83.809998  79.510002  2061200  79.510002
8  2016-01-20   82.669998  74.690002  78.029999  81.379997  2422400  81.379997
9  2016-01-21   83.379997  79.480003  81.639999  80.820000  1717200  80.820000
10 2016-01-22   85.839996  81.070000  82.430000  84.660004  1739300  84.660004"
10,NEOS,"         Date    High    Low   Open  Close   Volume  Adj Close
0  2016-01-20  11.060   9.77  10.00  10.18   168000      10.18
1  2016-01-21  10.930   9.57  10.35   9.73   141500       9.73
2  2016-01-22  10.420   9.64  10.09   9.90   168700       9.90
3  2016-01-25  10.370   9.58   9.99   9.87   175700       9.87
4  2016-01-26   9.880   9.12   9.79   9.34   152500       9.34
5  2016-01-27   9.720   8.91   9.28   9.42   125500       9.42
6  2016-01-28  15.200  12.14  15.19  13.38  4152500      13.38
7  2016-01-29  13.900  12.52  13.33  13.58   519300      13.58
8  2016-02-01  12.500  10.58  12.23  10.88   674200      10.88
9  2016-02-02  11.100  10.08  10.81  10.42   207800      10.42
10 2016-02-03  10.551   9.50  10.43   9.57   146000       9.57
11 2016-02-04   9.550   9.14   9.47   9.33   101000       9.33"
